Sample,LogID,Trident,Volume,time,creek,station,bio,DateStamp
0321.4Pad.Up11.2,0,0,2,321,4Pad,Up11,2,2021-03-10 22:00:00 UTC
0321.4Pad.Up11.3,0,0,1.99,321,4Pad,Up11,3,2021-03-10 22:00:00 UTC
0321.4Pad.Up5.1,0,0,2.01,321,4Pad,Up5,1,2021-03-10 22:50:00 UTC
0321.4Pad.Up5.2,0,0,2.01,321,4Pad,Up5,2,2021-03-10 22:50:00 UTC
0321.4Pad.Up5.3,0,0,2.02,321,4Pad,Up5,3,2021-03-10 22:50:00 UTC
0321.5Sqm.Dn.1,0,0,1.99,321,5Sqm,Dn,1,2021-03-10 19:45:00 UTC
0321.5Sqm.Dn.2,0,0,2.01,321,5Sqm,Dn,2,2021-03-10 19:45:00 UTC
0321.5Sqm.Dn.3,0,0,1.99,321,5Sqm,Dn,3,2021-03-10 19:45:00 UTC
0321.5Sqm.Up.1,0,0,1.98,321,5Sqm,Up,1,2021-03-10 20:15:00 UTC
0321.5Sqm.Up.2,0,0,1.96,321,5Sqm,Up,2,2021-03-10 20:15:00 UTC
0321.5Sqm.Up.3,0,0,1.99,321,5Sqm,Up,3,2021-03-10 20:15:00 UTC
0421.1Prt.Dn.1,7,1,,421,1Prt,Dn,1,
0421.1Prt.Dn.2,7,1,,421,1Prt,Dn,2,
0421.1Prt.Dn.3,7,1,,421,1Prt,Dn,3,
0421.1Prt.Up.1,8,1,,421,1Prt,Up,1,
0421.1Prt.Up.2,8,1,,421,1Prt,Up,2,
0421.1Prt.Up.3,8,1,,421,1Prt,Up,3,
0421.2Brn.Dn.1,9,1,,421,2Brn,Dn,1,
0421.2Brn.Dn.2,9,1,,421,2Brn,Dn,2,
0421.2Brn.Dn.3,9,1,,421,2Brn,Dn,3,
0421.2Brn.Up.1,10,1,,421,2Brn,Up,1,
0421.2Brn.Up.2,10,1,,421,2Brn,Up,2,
0421.2Brn.Up.3,10,1,,421,2Brn,Up,3,
0421.3Chk.Dn.1,11,1, ,421,3Chk,Dn,1,
0421.3Chk.Dn.2,11,1,,421,3Chk,Dn,2,
0421.3Chk.Dn.3,11,1,,421,3Chk,Dn,3,
0421.3Chk.Up.1,12,1,,421,3Chk,Up,1,
0421.3Chk.Up.2,12,1,,421,3Chk,Up,2,
0421.3Chk.Up.3,12,1,,421,3Chk,Up,3,
0421.4Pad.Dn.1,17,0,,421,4Pad,Dn,1,
0421.4Pad.Dn.2,18,0,,421,4Pad,Dn,2,
0421.4Pad.Dn.3,19,0,,421,4Pad,Dn,3,
0421.4Pad.Up11.1,21,1,,421,4Pad,Up11,1,
0421.4Pad.Up11.2,21,1,,421,4Pad,Up11,2,
0421.4Pad.Up11.3,21,1,,421,4Pad,Up11,3,
0421.4Pad.Up5.1,22,1,,421,4Pad,Up5,1,
0421.4Pad.Up5.2,22,1,,421,4Pad,Up5,2,
0421.4Pad.Up5.3,22,1,,421,4Pad,Up5,3,
0421.5Sqm.Dn.1,23,1,,421,5Sqm,Dn,1,
0421.5Sqm.Dn.2,23,1,,421,5Sqm,Dn,2,
0421.5Sqm.Dn.3,23,1,,421,5Sqm,Dn,3,
0421.5Sqm.Up.1,24,1,,421,5Sqm,Up,1,
0421.5Sqm.Up.2,24,1,,421,5Sqm,Up,2,
0421.5Sqm.Up.3,24,1,,421,5Sqm,Up,3,
0521.1Prt.Dn.1,25,1,,521,1Prt,Dn,1,
0521.1Prt.Dn.2,25,1,,521,1Prt,Dn,2,
0521.1Prt.Dn.3,25,1,,521,1Prt,Dn,3,
0521.1Prt.Up.1,26,1,,521,1Prt,Up,1,
0521.1Prt.Up.2,26,1,,521,1Prt,Up,2,
0521.1Prt.Up.3,26,1,,521,1Prt,Up,3,
0521.2Brn.Dn.1,27,1,,521,2Brn,Dn,1,
0521.2Brn.Dn.2,27,1,,521,2Brn,Dn,2,
0521.2Brn.Dn.3,27,1,,521,2Brn,Dn,3,
0521.2Brn.Up.1,28,1,,521,2Brn,Up,1,
0521.2Brn.Up.2,28,1,,521,2Brn,Up,2,
0521.2Brn.Up.3,28,1,,521,2Brn,Up,3,
0521.3Chk.Dn.1,29,1,,521,3Chk,Dn,1,
0521.3Chk.Dn.2,29,1,,521,3Chk,Dn,2,
0521.3Chk.Dn.3,29,1,,521,3Chk,Dn,3,
0521.3Chk.Up.1,30,0,,521,3Chk,Up,1,
0521.3Chk.Up.2,31,0,,521,3Chk,Up,2,
0521.3Chk.Up.3,32,0,,521,3Chk,Up,3,
0521.4Pad.Dn.1,34,1,,521,4Pad,Dn,1,
0521.4Pad.Dn.2,34,1,,521,4Pad,Dn,2,
0521.4Pad.Dn.3,34,1,,521,4Pad,Dn,3,
0521.4Pad.Up11.1,35,1,,521,4Pad,Up11,1,
0521.4Pad.Up11.2,35,1,,521,4Pad,Up11,2,
0521.4Pad.Up11.3,35,1,,521,4Pad,Up11,3,
0521.4Pad.Up5.1,36,1,,521,4Pad,Up5,1,
0521.4Pad.Up5.2,36,1,,521,4Pad,Up5,2,
0521.4Pad.Up5.3,36,1,,521,4Pad,Up5,3,
0521.5Sqm.Dn.1,37,1,,521,5Sqm,Dn,1,
0521.5Sqm.Dn.2,37,1,,521,5Sqm,Dn,2,
0521.5Sqm.Dn.3,37,1,,521,5Sqm,Dn,3,
0521.5Sqm.Up.1,38,1,,521,5Sqm,Up,1,
0521.5Sqm.Up.2,38,1,,521,5Sqm,Up,2,
0521.5Sqm.Up.3,38,1,,521,5Sqm,Up,3,
0621.1Prt.Dn.1,39,1,,621,1Prt,Dn,1,
0621.1Prt.Dn.2,39,1,,621,1Prt,Dn,2,
0621.1Prt.Dn.3,39,1,,621,1Prt,Dn,3,
0621.1Prt.Up.1,40,1,,621,1Prt,Up,1,
0621.1Prt.Up.2,40,1,,621,1Prt,Up,2,
0621.1Prt.Up.3,40,1,,621,1Prt,Up,3,
0621.2Brn.Dn.1,41,1,,621,2Brn,Dn,1,
0621.2Brn.Dn.2,41,1,,621,2Brn,Dn,2,
0621.2Brn.Dn.3,41,1,,621,2Brn,Dn,3,
0621.2Brn.Up.1,42,1,,621,2Brn,Up,1,
0621.2Brn.Up.2,42,1,,621,2Brn,Up,2,
0621.2Brn.Up.3,42,1,,621,2Brn,Up,3,
0621.3Chk.Dn.1,43,1,,621,3Chk,Dn,1,
0621.3Chk.Dn.2,43,1,,621,3Chk,Dn,2,
0621.3Chk.Dn.3,43,1,,621,3Chk,Dn,3,
0621.3Chk.Up.1,44,1,,621,3Chk,Up,1,
0621.3Chk.Up.2,44,1,,621,3Chk,Up,2,
0621.3Chk.Up.3,44,1,,621,3Chk,Up,3,
0621.4Pad.Dn.1,45,1,,621,4Pad,Dn,1,
0621.4Pad.Dn.2,45,1,,621,4Pad,Dn,2,
0621.4Pad.Dn.3,45,1,,621,4Pad,Dn,3,
0621.4Pad.Up11.1,46,1,,621,4Pad,Up11,1,
0621.4Pad.Up11.2,46,1,,621,4Pad,Up11,2,
0621.4Pad.Up11.3,46,1,,621,4Pad,Up11,3,
0621.4Pad.Up5.1,47,1,,621,4Pad,Up5,1,
0621.4Pad.Up5.2,47,1,,621,4Pad,Up5,2,
0621.4Pad.Up5.3,47,1,,621,4Pad,Up5,3,
0621.5Sqm.Dn.1,48,1,,621,5Sqm,Dn,1,
0621.5Sqm.Dn.2,48,1,,621,5Sqm,Dn,2,
0621.5Sqm.Dn.3,48,1,,621,5Sqm,Dn,3,
0621.5Sqm.Up.1,49,1,,621,5Sqm,Up,1,
0621.5Sqm.Up.2,49,1,,621,5Sqm,Up,2,
0621.5Sqm.Up.3,49,1,,621,5Sqm,Up,3,
0721.1Prt.Dn.1,50,1,,721,1Prt,Dn,1,
0721.1Prt.Dn.2,50,1,,721,1Prt,Dn,2,
0721.1Prt.Dn.3,50,1,,721,1Prt,Dn,3,
0721.1Prt.Up.1,51,1,,721,1Prt,Up,1,
0721.1Prt.Up.2,51,1,,721,1Prt,Up,2,
0721.1Prt.Up.3,51,1,,721,1Prt,Up,3,
0721.2Brn.Dn.1,52,1,,721,2Brn,Dn,1,
0721.2Brn.Dn.2,52,1,,721,2Brn,Dn,2,
0721.2Brn.Dn.3,52,1,,721,2Brn,Dn,3,
0721.2Brn.Up.1,53,1,,721,2Brn,Up,1,
0721.2Brn.Up.2,53,1,,721,2Brn,Up,2,
0721.2Brn.Up.3,53,1,,721,2Brn,Up,3,
0721.3Chk.Dn.1,54,1,,721,3Chk,Dn,1,
0721.3Chk.Dn.2,54,1,,721,3Chk,Dn,2,
0721.3Chk.Dn.3,54,1,,721,3Chk,Dn,3,
0721.3Chk.Up.1,55,1,,721,3Chk,Up,1,
0721.3Chk.Up.2,55,1,,721,3Chk,Up,2,
0721.3Chk.Up.3,55,1,,721,3Chk,Up,3,
0721.4Pad.Dn.1,56,1,,721,4Pad,Dn,1,
0721.4Pad.Dn.2,56,1,,721,4Pad,Dn,2,
0721.4Pad.Dn.3,56,1,,721,4Pad,Dn,3,
0721.4Pad.Up11.1,57,1,,721,4Pad,Up11,1,
0721.4Pad.Up11.2,57,1,,721,4Pad,Up11,2,
0721.4Pad.Up11.3,57,1,,721,4Pad,Up11,3,
0721.4Pad.Up5.1,58,1,,721,4Pad,Up5,1,
0721.4Pad.Up5.2,58,1,,721,4Pad,Up5,2,
0721.4Pad.Up5.3,58,1,,721,4Pad,Up5,3,
0721.5Sqm.Dn.1,59,1,,721,5Sqm,Dn,1,
0721.5Sqm.Dn.2,59,1,,721,5Sqm,Dn,2,
0721.5Sqm.Dn.3,59,1,,721,5Sqm,Dn,3,
0721.5Sqm.Up.1,60,1,,721,5Sqm,Up,1,
0721.5Sqm.Up.2,60,1,,721,5Sqm,Up,2,
0721.5Sqm.Up.3,60,1,,721,5Sqm,Up,3,
0821.1Prt.Dn.1,61,1,,821,1Prt,Dn,1,
0821.1Prt.Dn.2,61,1,,821,1Prt,Dn,2,
0821.1Prt.Dn.3,61,1,,821,1Prt,Dn,3,
0821.1Prt.Up.1,62,1,,821,1Prt,Up,1,
0821.1Prt.Up.2,62,1,,821,1Prt,Up,2,
0821.1Prt.Up.3,62,1,,821,1Prt,Up,3,
0821.2Brn.Dn.1,63,1,,821,2Brn,Dn,1,
0821.2Brn.Dn.2,63,1,,821,2Brn,Dn,2,
0821.2Brn.Dn.3,63,1,,821,2Brn,Dn,3,
0821.2Brn.Up.1,64,1,,821,2Brn,Up,1,
0821.2Brn.Up.2,64,1,,821,2Brn,Up,2,
0821.2Brn.Up.3,64,1,,821,2Brn,Up,3,
0821.3Chk.Dn.1,65,1,,821,3Chk,Dn,1,
0821.3Chk.Dn.2,65,1,,821,3Chk,Dn,2,
0821.3Chk.Dn.3,65,1,,821,3Chk,Dn,3,
0821.3Chk.Up.1,66,1,,821,3Chk,Up,1,
0821.3Chk.Up.2,66,1,,821,3Chk,Up,2,
0821.3Chk.Up.3,66,1,,821,3Chk,Up,3,
0821.4Pad.Dn.1,67,1,,821,4Pad,Dn,1,
0821.4Pad.Dn.2,67,1,,821,4Pad,Dn,2,
0821.4Pad.Dn.3,67,1,,821,4Pad,Dn,3,
0821.4Pad.Up11.1,68,1,,821,4Pad,Up11,1,
0821.4Pad.Up11.2,68,1,,821,4Pad,Up11,2,
0821.4Pad.Up11.3,68,1,,821,4Pad,Up11,3,
0821.4Pad.Up5.1,69,1,,821,4Pad,Up5,1,
0821.4Pad.Up5.2,69,1,,821,4Pad,Up5,2,
0821.4Pad.Up5.3,69,1,,821,4Pad,Up5,3,
0821.5Sqm.Dn.1,70,1,,821,5Sqm,Dn,1,
0821.5Sqm.Dn.2,70,1,,821,5Sqm,Dn,2,
0821.5Sqm.Dn.3,70,1,,821,5Sqm,Dn,3,
0821.5Sqm.Up.1,71,1,,821,5Sqm,Up,1,
0821.5Sqm.Up.2,71,1,,821,5Sqm,Up,2,
0821.5Sqm.Up.3,71,1,,821,5Sqm,Up,3,
0921.1Prt.Dn.1,73,1,,921,1Prt,Dn,1,
0921.1Prt.Dn.2,73,1,,921,1Prt,Dn,2,
0921.1Prt.Dn.3,73,1,,921,1Prt,Dn,3,
0921.1Prt.Up.1,74,1,,921,1Prt,Up,1,
0921.1Prt.Up.2,74,1,,921,1Prt,Up,2,
0921.1Prt.Up.3,74,1,,921,1Prt,Up,3,
0921.2Brn.Dn.1,75,1,,921,2Brn,Dn,1,
0921.2Brn.Dn.2,75,1,,921,2Brn,Dn,2,
0921.2Brn.Dn.3,75,1,,921,2Brn,Dn,3,
0921.2Brn.Up.1,76,1,,921,2Brn,Up,1,
0921.2Brn.Up.2,76,1,,921,2Brn,Up,2,
0921.2Brn.Up.3,76,1,,921,2Brn,Up,3,
0921.3Chk.Dn.1,77,1,,921,3Chk,Dn,1,
0921.3Chk.Dn.2,77,1,,921,3Chk,Dn,2,
0921.3Chk.Dn.3,77,1,,921,3Chk,Dn,3,
0921.3Chk.Up.1,78,1,,921,3Chk,Up,1,
0921.3Chk.Up.2,78,1,,921,3Chk,Up,2,
0921.3Chk.Up.3,78,1,,921,3Chk,Up,3,
0921.4Pad.Dn.1,79,1,,921,4Pad,Dn,1,
0921.4Pad.Dn.2,79,1,,921,4Pad,Dn,2,
0921.4Pad.Dn.3,79,1,,921,4Pad,Dn,3,
0921.4Pad.Up11.1,80,1,,921,4Pad,Up11,1,
0921.4Pad.Up11.2,80,1,,921,4Pad,Up11,2,
0921.4Pad.Up11.3,80,1,,921,4Pad,Up11,3,
0921.4Pad.Up5.1,81,1,,921,4Pad,Up5,1,
0921.4Pad.Up5.2,81,1,,921,4Pad,Up5,2,
0921.4Pad.Up5.3,81,1,,921,4Pad,Up5,3,
0921.5Sqm.Dn.1,82,1,,921,5Sqm,Dn,1,
0921.5Sqm.Dn.2,82,1,,921,5Sqm,Dn,2,
0921.5Sqm.Dn.3,82,1,,921,5Sqm,Dn,3,
0921.5Sqm.Up.1,0,0,0,921,5Sqm,Up,1,
0921.5Sqm.Up.2,0,0,0,921,5Sqm,Up,2,
0921.5Sqm.Up.3,0,0,0,921,5Sqm,Up,3,
1021.1Prt.Dn.1,84,1,,1021,1Prt,Dn,1,
1021.1Prt.Dn.2,84,1,,1021,1Prt,Dn,2,
1021.1Prt.Dn.3,84,1,,1021,1Prt,Dn,3,
1021.1Prt.Up.1,85,1,,1021,1Prt,Up,1,
1021.1Prt.Up.2,85,1,,1021,1Prt,Up,2,
1021.1Prt.Up.3,85,1,,1021,1Prt,Up,3,
1021.2Brn.Dn.1,86,1,,1021,2Brn,Dn,1,
1021.2Brn.Dn.2,86,1,,1021,2Brn,Dn,2,
1021.2Brn.Dn.3,86,1,,1021,2Brn,Dn,3,
1021.2Brn.Up.1,88,1,,1021,2Brn,Up,1,
1021.2Brn.Up.2,88,1,,1021,2Brn,Up,2,
1021.2Brn.Up.3,88,1,,1021,2Brn,Up,3,
1021.3Chk.Dn.1,89,1,,1021,3Chk,Dn,1,
1021.3Chk.Dn.2,89,1,,1021,3Chk,Dn,2,
1021.3Chk.Dn.3,89,1,,1021,3Chk,Dn,3,
1021.3Chk.Up.1,90,1,,1021,3Chk,Up,1,
1021.3Chk.Up.2,90,1,,1021,3Chk,Up,2,
1021.3Chk.Up.3,90,1,,1021,3Chk,Up,3,
1021.4Pad.Dn.1,91,1,,1021,4Pad,Dn,1,
1021.4Pad.Dn.2,91,1,,1021,4Pad,Dn,2,
1021.4Pad.Dn.3,91,1,,1021,4Pad,Dn,3,
1021.4Pad.Up11.1,92,1,,1021,4Pad,Up11,1,
1021.4Pad.Up11.2,92,1,,1021,4Pad,Up11,2,
1021.4Pad.Up11.3,92,1,,1021,4Pad,Up11,3,
1021.4Pad.Up5.1,93,1,,1021,4Pad,Up5,1,
1021.4Pad.Up5.2,93,1,,1021,4Pad,Up5,2,
1021.4Pad.Up5.3,93,1,,1021,4Pad,Up5,3,
1021.5Sqm.Dn.1,94,1,,1021,5Sqm,Dn,1,
1021.5Sqm.Dn.2,94,1,,1021,5Sqm,Dn,2,
1021.5Sqm.Dn.3,94,1,,1021,5Sqm,Dn,3,
1021.5Sqm.Up.1,95,1,,1021,5Sqm,Up,1,
1021.5Sqm.Up.2,95,1,,1021,5Sqm,Up,2,
1021.5Sqm.Up.3,95,1,,1021,5Sqm,Up,3,
1121.1Prt.Dn.1,97,1,,1121,1Prt,Dn,1,
1121.1Prt.Dn.2,97,1,,1121,1Prt,Dn,2,
1121.1Prt.Dn.3,97,1,,1121,1Prt,Dn,3,
1121.1Prt.Up.1,98,1,,1121,1Prt,Up,1,
1121.1Prt.Up.2,98,1,,1121,1Prt,Up,2,
1121.1Prt.Up.3,98,1,,1121,1Prt,Up,3,
1121.2Brn.Dn.1,99,1,,1121,2Brn,Dn,1,
1121.2Brn.Dn.2,99,1,,1121,2Brn,Dn,2,
1121.2Brn.Dn.3,99,1,,1121,2Brn,Dn,3,
1121.2Brn.Up.1,100,1,,1121,2Brn,Up,1,
1121.2Brn.Up.2,100,1,,1121,2Brn,Up,2,
1121.2Brn.Up.3,100,1,,1121,2Brn,Up,3,
1121.3Chk.Dn.1,101,1,,1121,3Chk,Dn,1,
1121.3Chk.Dn.2,101,1,,1121,3Chk,Dn,2,
1121.3Chk.Dn.3,101,1,,1121,3Chk,Dn,3,
1121.3Chk.Up.1,102,1,,1121,3Chk,Up,1,
1121.3Chk.Up.2,102,1,,1121,3Chk,Up,2,
1121.3Chk.Up.3,102,1,,1121,3Chk,Up,3,
1121.4Pad.Dn.1,103,1,,1121,4Pad,Dn,1,
1121.4Pad.Dn.2,103,1,,1121,4Pad,Dn,2,
1121.4Pad.Dn.3,103,1,,1121,4Pad,Dn,3,
1121.4Pad.Up11.1,104,1,,1121,4Pad,Up11,1,
1121.4Pad.Up11.2,104,1,,1121,4Pad,Up11,2,
1121.4Pad.Up11.3,104,1,,1121,4Pad,Up11,3,
1121.4Pad.Up5.1,107,1,,1121,4Pad,Up5,1,
1121.4Pad.Up5.2,107,1,,1121,4Pad,Up5,2,
1121.4Pad.Up5.3,107,1,,1121,4Pad,Up5,3,
1121.5Sqm.Dn.1,108,1,,1121,5Sqm,Dn,1,
1121.5Sqm.Dn.2,108,1,,1121,5Sqm,Dn,2,
1121.5Sqm.Dn.3,108,1,,1121,5Sqm,Dn,3,
1121.5Sqm.Up.1,109,1,,1121,5Sqm,Up,1,
1121.5Sqm.Up.2,109,1,,1121,5Sqm,Up,2,
1121.5Sqm.Up.3,109,1,,1121,5Sqm,Up,3,
1221.1Prt.Dn.1,110,1,,1221,1Prt,Dn,1,
1221.1Prt.Dn.2,110,1,,1221,1Prt,Dn,2,
1221.1Prt.Dn.3,110,1,,1221,1Prt,Dn,3,
1221.1Prt.Up.1,111,1,,1221,1Prt,Up,1,
1221.1Prt.Up.2,111,1,,1221,1Prt,Up,2,
1221.1Prt.Up.3,111,1,,1221,1Prt,Up,3,
1221.2Brn.Dn.1,112,1,,1221,2Brn,Dn,1,
1221.2Brn.Dn.2,112,1,,1221,2Brn,Dn,2,
1221.2Brn.Dn.3,112,1,,1221,2Brn,Dn,3,
1221.2Brn.Up.1,113,1,,1221,2Brn,Up,1,
1221.2Brn.Up.2,113,1,,1221,2Brn,Up,2,
1221.2Brn.Up.3,113,1,,1221,2Brn,Up,3,
1221.3Chk.Dn.1,114,1,,1221,3Chk,Dn,1,
1221.3Chk.Dn.2,114,1,,1221,3Chk,Dn,2,
1221.3Chk.Dn.3,114,1,,1221,3Chk,Dn,3,
1221.3Chk.Up.1,115,1,,1221,3Chk,Up,1,
1221.3Chk.Up.2,115,1,,1221,3Chk,Up,2,
1221.3Chk.Up.3,115,1,,1221,3Chk,Up,3,
1221.4Pad.Dn.1,116,1,,1221,4Pad,Dn,1,
1221.4Pad.Dn.2,116,1,,1221,4Pad,Dn,2,
1221.4Pad.Dn.3,116,1,,1221,4Pad,Dn,3,
1221.4Pad.Up11.1,120,1,,1221,4Pad,Up11,1,
1221.4Pad.Up11.2,120,1,,1221,4Pad,Up11,2,
1221.4Pad.Up11.3,120,1,,1221,4Pad,Up11,3,
1221.4Pad.Up5.1,121,1,,1221,4Pad,Up5,1,
1221.4Pad.Up5.2,121,1,,1221,4Pad,Up5,2,
1221.4Pad.Up5.3,121,1,,1221,4Pad,Up5,3,
1221.5Sqm.Dn.1,122,1,,1221,5Sqm,Dn,1,
1221.5Sqm.Dn.2,122,1,,1221,5Sqm,Dn,2,
1221.5Sqm.Dn.3,122,1,,1221,5Sqm,Dn,3,
1221.5Sqm.Up.1,123,1,,1221,5Sqm,Up,1,
1221.5Sqm.Up.2,123,1,,1221,5Sqm,Up,2,
1221.5Sqm.Up.3,123,1,,1221,5Sqm,Up,3,
0122.1Prt.Dn.1,124,1,,122,1Prt,Dn,1,
0122.1Prt.Dn.2,124,1,,122,1Prt,Dn,2,
0122.1Prt.Dn.3,124,1,,122,1Prt,Dn,3,
0122.1Prt.Up.1,125,1,,122,1Prt,Up,1,
0122.1Prt.Up.2,125,1,,122,1Prt,Up,2,
0122.1Prt.Up.3,125,1,,122,1Prt,Up,3,
0122.2Brn.Dn.1,126,1,,122,2Brn,Dn,1,
0122.2Brn.Dn.2,126,1,,122,2Brn,Dn,2,
0122.2Brn.Dn.3,126,1,,122,2Brn,Dn,3,
0122.2Brn.Up.1,127,1,,122,2Brn,Up,1,
0122.2Brn.Up.2,127,1,,122,2Brn,Up,2,
0122.2Brn.Up.3,127,1,,122,2Brn,Up,3,
0122.3Chk.Dn.1,128,1,,122,3Chk,Dn,1,
0122.3Chk.Dn.2,128,1,,122,3Chk,Dn,2,
0122.3Chk.Dn.3,128,1,,122,3Chk,Dn,3,
0122.3Chk.Up.1,129,1,,122,3Chk,Up,1,
0122.3Chk.Up.2,129,1,,122,3Chk,Up,2,
0122.3Chk.Up.3,129,1,,122,3Chk,Up,3,
0122.4Pad.Dn.1,130,1,,122,4Pad,Dn,1,
0122.4Pad.Dn.2,130,1,,122,4Pad,Dn,2,
0122.4Pad.Dn.3,130,1,,122,4Pad,Dn,3,
0122.4Pad.Up11.1,131,1,,122,4Pad,Up11,1,
0122.4Pad.Up11.2,131,1,,122,4Pad,Up11,2,
0122.4Pad.Up11.3,131,1,,122,4Pad,Up11,3,
0122.4Pad.Up5.1,132,1,,122,4Pad,Up5,1,
0122.4Pad.Up5.2,132,1,,122,4Pad,Up5,2,
0122.4Pad.Up5.3,132,1,,122,4Pad,Up5,3,
0122.5Sqm.Dn.1,133,1,,122,5Sqm,Dn,1,
0122.5Sqm.Dn.2,133,1,,122,5Sqm,Dn,2,
0122.5Sqm.Dn.3,133,1,,122,5Sqm,Dn,3,
0122.5Sqm.Up.1,134,1,,122,5Sqm,Up,1,
0122.5Sqm.Up.2,134,1,,122,5Sqm,Up,2,
0122.5Sqm.Up.3,134,1,,122,5Sqm,Up,3,
0222.1Prt.Dn.1,135,1,,222,1Prt,Dn,1,
0222.1Prt.Dn.2,135,1,,222,1Prt,Dn,2,
0222.1Prt.Dn.3,135,1,,222,1Prt,Dn,3,
0222.1Prt.Up.1,136,1,,222,1Prt,Up,1,
0222.1Prt.Up.2,136,1,,222,1Prt,Up,2,
0222.1Prt.Up.3,136,1,,222,1Prt,Up,3,
0222.2Brn.Dn.1,137,1,,222,2Brn,Dn,1,
0222.2Brn.Dn.2,137,1,,222,2Brn,Dn,2,
0222.2Brn.Dn.3,137,1,,222,2Brn,Dn,3,
0222.2Brn.Up.1,138,1,,222,2Brn,Up,1,
0222.2Brn.Up.2,138,1,,222,2Brn,Up,2,
0222.2Brn.Up.3,138,1,,222,2Brn,Up,3,
0222.3Chk.Dn.1,139,1,,222,3Chk,Dn,1,
0222.3Chk.Dn.2,139,1,,222,3Chk,Dn,2,
0222.3Chk.Dn.3,139,1,,222,3Chk,Dn,3,
0222.3Chk.Up.1,140,1,,222,3Chk,Up,1,
0222.3Chk.Up.2,140,1,,222,3Chk,Up,2,
0222.3Chk.Up.3,140,1,,222,3Chk,Up,3,
0222.4Pad.Dn.1,141,1,,222,4Pad,Dn,1,
0222.4Pad.Dn.2,141,1,,222,4Pad,Dn,2,
0222.4Pad.Dn.3,141,1,,222,4Pad,Dn,3,
0222.4Pad.Up11.1,142,1,,222,4Pad,Up11,1,
0222.4Pad.Up11.2,142,1,,222,4Pad,Up11,2,
0222.4Pad.Up11.3,142,1,,222,4Pad,Up11,3,
0222.4Pad.Up5.1,143,1,,222,4Pad,Up5,1,
0222.4Pad.Up5.2,143,1,,222,4Pad,Up5,2,
0222.4Pad.Up5.3,143,1,,222,4Pad,Up5,3,
0222.5Sqm.Dn.1,144,1,,222,5Sqm,Dn,1,
0222.5Sqm.Dn.2,144,1,,222,5Sqm,Dn,2,
0222.5Sqm.Dn.3,144,1,,222,5Sqm,Dn,3,
0222.5Sqm.Up.1,146,1,,222,5Sqm,Up,1,
0222.5Sqm.Up.2,146,1,,222,5Sqm,Up,2,
0222.5Sqm.Up.3,146,1,,222,5Sqm,Up,3,
